smiles,pharmacophore_sim,maccs_sim,morgan_sim,lipinski_sim,similar_to_original
c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,0.0,0.0,0.0,0.0,True
O=C(C=1C=CC2=C(C1)NC(=O)N2C3CCCC3)N4CCC(C4)OC=5C=CC=C(F)C5,0.0,0.4492753623188406,0.8539325842696629,1.0,True
CC1=CC(=NN1C=2C=CC(F)=CC2F)NC(=O)NC3CCN(CC3)C(C)C=4C=CC=CC4,0.0,0.527027027027027,0.8804347826086957,1.0,True
O=C(C=1C=CC(=CC1)N2C=NC=3C=CC=CC32)N4CCCC(O)(CO)C4,0.0,0.42028985507246375,0.8809523809523809,1.0,True
C1=CC=C(C=C1)OC=2C=CN=C(N2)NC3CCC4OCCC4C3,0.3571428571428571,0.2222222222222222,0.8,1.0,True
O=C(NC=1C=CC=C(C1)CCO)C2=CNC=3N=CN=C(O)C23,0.4,0.2727272727272727,0.8481012658227848,1.0,True
O=C1CC(NC=2N=CC=C(N2)OC=3C=CC=CC3)C4CCCCN14,0.3571428571428571,0.27586206896551724,0.7763157894736842,1.0,True
O=C(NCC1CCOCC1)C=2C=NC(=NC2C(F)(F)F)NC=3C=CC=CC3,0.33333333333333337,0.4193548387096774,0.72,1.0,True
O=C(NC1CC2CNCC2C1)C=3C=CC(=CC3)OCC4CCCCC4,0.47058823529411764,0.4035087719298246,0.7246376811594203,1.0,True
C=1C=CC(=CC1)C2=NOC(=N2)C3CCN(CC4CCCCNC4)CC3,0.47058823529411764,0.4769230769230769,0.726027397260274,1.0,True
CC=1C=CC=C(C1)OC=2C=CC(=NC2)C(=O)NC=3C=CC=C(C3)C4CCC(=O)N4,0.19999999999999996,0.43103448275862066,0.8255813953488372,0.0,True
O=C(NC=1C=CC(=CC1)OC(F)F)C=2C=CC(=CC2)NC=3N=CC=CN3,0.1428571428571429,0.41509433962264153,0.8169014084507042,0.0,True
COC=1C=CC=2N=C(NC(=O)N3CCCC(C3)NC=4C=CC=CC4)SC2N1,0.2142857142857143,0.36363636363636365,0.8117647058823529,0.0,True
O=C(NC=1C=CC=C(C1)OC(F)F)C=2C=CC(=CC2)NC=3N=CC=CN3,0.1428571428571429,0.39622641509433965,0.8082191780821918,0.0,True
CC=1C=C(F)C=2N=C(O)C=C(C(=O)N3CCC(C3)NC=4C=CC=CC4)C2C1,0.1875,0.4307692307692308,0.8333333333333334,0.0,True
COC=1C=CC=C(C1)CCC(=O)NC=2C=CC(=CC2)NC=3N=CC=CN3,0.25,0.3928571428571429,0.8133333333333334,0.0,True
O=C(NC=1C=CC=C(C1)OCCF)C=2C=CC(=CC2)NC=3N=CC=CN3,0.19999999999999996,0.31481481481481477,0.7972972972972973,0.0,True
O=C(NC=1C=CC=C(C1)OC(F)F)C=2C=CC=C(C2)NC=3N=CC=CN3,0.1428571428571429,0.39622641509433965,0.8243243243243243,0.0,True
O=C(NC1=NN=C2C=CC=CN12)C=3C=CC=C(C3)NC=4C=CC=CC4,0.2666666666666667,0.38888888888888884,0.821917808219178,0.0,True
